post_date,TagName,num_per_day
"2010-04-11 00:00:00","html","114"
"2013-11-09 00:00:00","c#","424"
"2015-08-22 00:00:00","c++","186"
"2015-03-11 00:00:00","fortran","11"
"2010-01-23 00:00:00","java","214"
"2010-12-07 00:00:00","php","519"
"2010-04-07 00:00:00","perl","52"
"2013-06-26 00:00:00","scala","48"
"2016-09-01 00:00:00","rust","16"
"2010-02-22 00:00:00","python","225"
"2012-03-11 00:00:00","css","173"
"2012-04-16 00:00:00","delphi","41"
"2011-06-15 00:00:00","javascript","642"
"2008-12-25 00:00:00","javascript","16"
"2010-10-23 00:00:00","c++","206"
"2016-04-10 00:00:00","jquery","234"
"2016-04-14 00:00:00","sql","283"
"2010-08-08 00:00:00","java","189"
"2012-12-11 00:00:00","scala","38"
"2011-11-05 00:00:00","vba","6"
"2017-03-19 00:00:00","vba","46"
"2015-05-20 00:00:00","r","200"
"2008-09-07 00:00:00","sql","23"
"2009-12-06 00:00:00","delphi","13"
"2008-11-19 00:00:00","html","30"
"2009-11-17 00:00:00","c#","596"
"2015-04-01 00:00:00","c#","789"
"2011-05-10 00:00:00","html","287"
"2012-10-11 00:00:00","c#","1046"
"2012-02-04 00:00:00","scala","13"
"2016-10-04 00:00:00","ruby","97"
"2014-04-07 00:00:00","go","13"
"2017-01-08 00:00:00","python","458"
"2013-11-30 00:00:00","jquery","435"
"2011-08-29 00:00:00","hadoop","2"
"2009-02-10 00:00:00","php","113"
"2008-11-15 00:00:00","perl","1"
"2012-01-05 00:00:00","php","798"
"2011-05-06 00:00:00","perl","44"
"2013-05-15 00:00:00","delphi","33"
"2016-04-08 00:00:00","delphi","12"
"2012-10-30 00:00:00","fortran","3"
"2017-09-06 00:00:00","perl","20"
"2015-06-14 00:00:00","php","399"
"2015-10-26 00:00:00","rust","7"
"2012-08-11 00:00:00","shell","22"
"2012-04-22 00:00:00","sql","125"
"2017-09-04 00:00:00","sql","203"
"2015-12-11 00:00:00","css","444"
"2017-06-07 00:00:00","delphi","10"
"2009-12-18 00:00:00","html","132"
"2012-11-11 00:00:00","html","220"
"2014-07-31 00:00:00","javascript","1264"
"2010-08-01 00:00:00","c++","177"
"2015-09-26 00:00:00","swift","135"
"2014-05-07 00:00:00","shell","54"
"2010-06-16 00:00:00","python","217"
"2016-01-22 00:00:00","sql","277"
"2015-03-08 00:00:00","cobol","2"
"2012-08-08 00:00:00","fortran","6"
"2013-10-16 00:00:00","hadoop","25"
"2016-04-05 00:00:00","hadoop","24"
"2013-03-25 00:00:00","go","8"
"2017-08-16 00:00:00","r","254"
"2014-01-31 00:00:00","c#","1029"
