post_date,tags,score_sum,views,answers,favorites,comments,usage_cnt
"2008-09-02 00:00:00","<c#>","2","432","4","","0","1"
"2008-09-15 00:00:00","<c#>","21","4460","22","5","1","3"
"2008-09-24 00:00:00","<c#>","16","14043","5","1","0","1"
"2008-09-29 00:00:00","<c#>","6","10070","36","5","7","3"
"2008-10-01 00:00:00","<c#>","5","3311","19","0","2","2"
"2008-10-02 00:00:00","<c#>","3","367","7","1","2","2"
"2008-10-07 00:00:00","<c#>","37","40686","19","12","0","3"
"2008-10-09 00:00:00","<c#>","2","249","3","","0","1"
"2008-10-15 00:00:00","<c#>","173","183338","13","32","2","3"
"2008-10-17 00:00:00","<c#>","22","18593","12","5","0","4"
"2008-10-28 00:00:00","<c#>","4","11429","11","","2","3"
"2008-11-18 00:00:00","<c#>","1","298","1","","0","1"
"2008-12-04 00:00:00","<c#>","14","4132","9","3","0","4"
"2008-12-12 00:00:00","<c#>","12","12719","10","3","2","2"
"2008-12-22 00:00:00","<c#>","7","2246","7","2","0","2"
"2008-12-23 00:00:00","<c#>","20","41718","22","15","6","3"
"2008-12-31 00:00:00","<c#>","1","2978","3","","0","1"
"2009-01-07 00:00:00","<c#>","13","30280","18","7","6","5"
"2009-01-10 00:00:00","<c#>","0","4603","9","3","1","2"
"2009-01-15 00:00:00","<c#>","9","6529","12","3","7","3"
"2009-01-18 00:00:00","<c#>","0","496","2","","1","2"
"2009-01-28 00:00:00","<c#>","8","13581","13","1","0","3"
"2009-01-29 00:00:00","<c#>","0","3914","3","","0","1"
"2009-01-31 00:00:00","<c#>","154","617986","5","32","0","1"
"2009-02-06 00:00:00","<c#>","15","7834","29","","0","6"
"2009-02-13 00:00:00","<c#>","0","5920","8","","3","2"
"2009-02-14 00:00:00","<c#>","0","54","1","","0","1"
"2009-02-19 00:00:00","<c#>","2","6699","17","3","9","5"
"2009-02-21 00:00:00","<c#>","17","49792","17","9","2","5"
"2009-02-24 00:00:00","<c#>","20","87072","24","12","1","6"
"2009-02-27 00:00:00","<c#>","92","421758","28","14","4","7"
"2009-03-09 00:00:00","<c#>","4","3538","11","4","3","5"
"2009-03-12 00:00:00","<c#>","84","130094","70","21","4","11"
"2009-03-14 00:00:00","<c#>","8","1854","10","2","4","4"
"2009-03-15 00:00:00","<c#>","12","15681","13","8","0","3"
"2009-03-23 00:00:00","<c#>","83","104648","22","55","8","5"
"2009-04-02 00:00:00","<c#>","25","54376","38","6","17","11"
"2009-04-05 00:00:00","<c#>","34","25189","27","2","1","8"
"2009-04-10 00:00:00","<c#>","29","21242","21","3","3","4"
"2009-04-21 00:00:00","<c#>","3","10393","29","8","14","7"
"2009-04-28 00:00:00","<c#>","10","13204","31","1","17","10"
"2009-05-20 00:00:00","<c#>","25","39549","26","5","6","6"
"2009-05-25 00:00:00","<c#>","102","75708","10","22","3","3"
"2009-05-30 00:00:00","<c#>","53","44355","16","10","4","3"
"2009-06-07 00:00:00","<c#>","5","6430","10","1","1","2"
"2009-06-08 00:00:00","<c#>","29","33356","39","5","5","7"
"2009-06-12 00:00:00","<c#>","86","83387","32","15","9","10"
"2009-06-13 00:00:00","<c#>","3","3693","10","1","2","4"
"2009-06-15 00:00:00","<c#>","10","6249","8","2","1","5"
"2009-06-28 00:00:00","<c#>","1","692","2","","1","1"
"2009-07-09 00:00:00","<c#>","50","82229","29","7","10","7"
"2009-07-20 00:00:00","<c#>","53","60810","14","2","3","6"
"2009-07-23 00:00:00","<c#>","56","47980","36","9","26","10"
"2009-07-25 00:00:00","<c#>","3","1293","8","2","0","2"
"2009-07-30 00:00:00","<c#>","61","137571","58","13","26","15"
"2009-08-05 00:00:00","<c#>","70","120364","41","17","20","11"
"2009-08-07 00:00:00","<c#>","30","48171","25","21","16","9"
"2009-08-13 00:00:00","<c#>","26","41070","33","10","6","10"
"2009-08-20 00:00:00","<c#>","37","46783","45","13","9","13"
"2009-08-21 00:00:00","<c#>","47","38650","20","7","1","6"
"2009-08-28 00:00:00","<c#>","140","255951","49","30","31","9"
"2009-08-29 00:00:00","<c#>","0","36","2","","1","1"
"2009-09-03 00:00:00","<c#>","31","87719","24","8","13","7"
"2009-09-05 00:00:00","<c#>","9","10478","19","2","4","6"
"2009-09-06 00:00:00","<c#>","2","600","6","1","1","2"
"2009-09-16 00:00:00","<c#>","129","142109","34","34","21","12"
"2009-09-19 00:00:00","<c#>","20","31813","11","10","3","3"
"2009-09-26 00:00:00","<c#>","0","1001","7","0","3","2"
"2009-10-02 00:00:00","<c#>","22","25649","36","3","17","13"
"2009-10-15 00:00:00","<c#>","14","13582","34","3","6","10"
"2009-10-18 00:00:00","<c#>","34","34948","13","14","8","4"
"2009-10-20 00:00:00","<c#>","5","2010","22","1","6","7"
"2009-10-23 00:00:00","<c#>","58","44786","19","15","8","6"
"2009-10-28 00:00:00","<c#>","14","16077","14","1","2","6"
"2009-11-13 00:00:00","<c#>","143","169814","32","26","10","8"
"2009-12-07 00:00:00","<c#>","94","212413","29","13","6","10"
"2009-12-20 00:00:00","<c#>","32","62121","25","12","13","6"
"2009-12-26 00:00:00","<c#>","0","3986","2","","1","1"
"2009-12-28 00:00:00","<c#>","8","25873","29","5","12","8"
"2010-01-02 00:00:00","<c#>","1","692","2","","4","1"
"2010-01-03 00:00:00","<c#>","2","2706","8","4","9","2"
"2010-01-08 00:00:00","<c#>","74","44409","36","4","14","8"
"2010-01-10 00:00:00","<c#>","2","3576","10","2","3","3"
"2010-01-13 00:00:00","<c#>","54","33031","58","7","17","18"
