post_date,tags,score_days,favourites_days,answers_days,comments_days,usage_cnt
"2008-08-20 00:00:00","<php>","0","0","1","2","1"
"2008-08-22 00:00:00","<javascript>","7","1","10","","1"
"2008-08-31 00:00:00","<php>","","","3","","1"
"2008-09-04 00:00:00","<php>","3","0","6","1","1"
"2008-09-09 00:00:00","<php>","","","3","","1"
"2008-09-17 00:00:00","<vba>","1","0","8","3","1"
"2008-09-19 00:00:00","<html>","2","0","8","1","1"
"2008-09-19 00:00:00","<php>","2","2","17","1","3"
"2008-09-22 00:00:00","<delphi>","4","0","10","","2"
"2008-09-23 00:00:00","<jquery>","2","1","4","","1"
"2008-09-27 00:00:00","<jquery>","","","1","1","1"
"2008-09-27 00:00:00","<php>","6","0","7","","1"
"2008-10-03 00:00:00","<jquery>","13","4","14","2","3"
"2008-10-06 00:00:00","<jquery>","2","1","6","4","1"
"2008-10-07 00:00:00","<delphi>","","","2","","1"
"2008-10-08 00:00:00","<css>","","","6","","1"
"2008-10-08 00:00:00","<jquery>","2","0","2","","1"
"2008-10-12 00:00:00","<html>","2","0","2","","1"
"2008-10-14 00:00:00","<delphi>","5","0","3","","1"
"2008-10-19 00:00:00","<php>","6","0","13","2","2"
"2008-10-20 00:00:00","<css>","11","6","16","","1"
"2008-10-21 00:00:00","<html>","","","3","","1"
"2008-10-21 00:00:00","<javascript>","3","0","2","","1"
"2008-10-27 00:00:00","<delphi>","4","1","5","","1"
"2008-10-28 00:00:00","<javascript>","4","2","15","","3"
"2008-10-29 00:00:00","<delphi>","6","0","7","","2"
"2008-11-01 00:00:00","<jquery>","","","3","","1"
"2008-11-04 00:00:00","<javascript>","4","1","9","1","2"
"2008-11-05 00:00:00","<jquery>","","","1","","1"
"2008-11-06 00:00:00","<javascript>","","","5","1","2"
"2008-11-07 00:00:00","<php>","2","0","5","","1"
"2008-11-07 00:00:00","<vba>","1","0","","","1"
"2008-11-08 00:00:00","<php>","2","0","3","","1"
"2008-11-12 00:00:00","<php>","2","0","9","2","2"
"2008-11-13 00:00:00","<javascript>","1","0","6","","3"
"2008-11-13 00:00:00","<jquery>","3","1","4","","2"
"2008-11-24 00:00:00","<php>","1","0","3","","1"
"2008-11-24 00:00:00","<shell>","2","1","3","3","1"
"2008-11-25 00:00:00","<javascript>","5","1","8","5","3"
"2008-11-25 00:00:00","<php>","","","1","","1"
"2008-11-28 00:00:00","<javascript>","4","1","2","","1"
"2008-12-02 00:00:00","<javascript>","","","5","","2"
"2008-12-04 00:00:00","<javascript>","","","9","1","2"
"2008-12-09 00:00:00","<javascript>","0","1","2","","1"
"2008-12-10 00:00:00","<css>","2","0","7","","1"
"2008-12-11 00:00:00","<jquery>","2","2","5","","3"
