post_date,tags,score_sum,views,answers,favorites,comments,usage_cnt
"2016-10-10 00:00:00","<pascal>","0","430","3","","5","1"
"2013-11-29 00:00:00","<perl>","4","1440","11","","12","6"
"2013-11-01 00:00:00","<rust>","4","429","1","","0","1"
"2016-08-14 00:00:00","<perl>","7","310","4","3","4","4"
"2015-09-15 00:00:00","<fortran>","-1","11298","2","","0","1"
"2015-03-10 00:00:00","<rust>","2","504","2","1","6","2"
"2011-09-02 00:00:00","<perl>","1","125","3","","0","1"
"2016-05-22 00:00:00","<perl>","0","570","2","","0","1"
"2011-06-02 00:00:00","<perl>","1","631","4","","1","1"
"2014-05-17 00:00:00","<perl>","0","107","2","","3","1"
"2013-07-26 00:00:00","<perl>","3","522","11","","14","5"
"2017-06-22 00:00:00","<rust>","7","872","2","1","1","3"
"2014-11-18 00:00:00","<rust>","11","3303","7","2","5","3"
"2009-03-17 00:00:00","<perl>","47","5884","8","32","3","2"
"2010-03-17 00:00:00","<perl>","4","19818","6","","0","1"
"2014-12-01 00:00:00","<perl>","-2","1364","7","0","8","5"
"2015-07-15 00:00:00","<perl>","6","771","9","2","2","4"
"2016-09-25 00:00:00","<perl>","-1","206","6","1","3","3"
"2017-12-30 00:00:00","<rust>","5","509","7","","7","7"
"2017-07-06 00:00:00","<fortran>","0","62","2","","8","1"
"2015-06-03 00:00:00","<perl>","3","5480","4","1","24","4"
"2010-10-03 00:00:00","<perl>","5","13195","5","","4","3"
"2010-11-08 00:00:00","<fortran>","13","7251","5","5","0","1"
"2011-01-13 00:00:00","<perl>","17","9505","19","1","12","7"
"2013-07-13 00:00:00","<perl>","1","354","3","1","13","3"
"2016-08-31 00:00:00","<perl>","-2","150","5","","1","3"
"2014-12-30 00:00:00","<perl>","3","783","7","2","4","4"
"2012-06-04 00:00:00","<perl>","2","1304","4","","7","2"
"2014-01-11 00:00:00","<perl>","6","1107","10","","7","6"
"2015-12-16 00:00:00","<perl>","-3","460","7","","9","4"
"2016-01-02 00:00:00","<rust>","1","147","1","","2","1"
"2015-09-05 00:00:00","<fortran>","1","253","2","","0","1"
"2010-12-12 00:00:00","<perl>","3","238","1","","0","1"
"2013-06-26 00:00:00","<fortran>","0","175","1","","0","1"
"2016-06-22 00:00:00","<perl>","1","227","5","","4","3"
"2014-07-06 00:00:00","<perl>","2","399","6","","17","5"
"2015-07-12 00:00:00","<rust>","4","141","1","","0","1"
"2013-05-24 00:00:00","<fortran>","2","612","4","","3","3"
"2012-06-07 00:00:00","<perl>","-1","13523","3","","6","2"
"2014-05-24 00:00:00","<perl>","6","306","7","","1","3"
"2017-12-19 00:00:00","<perl>","2","244","5","1","21","4"
"2010-05-15 00:00:00","<perl>","8","359","3","1","0","1"
"2017-07-06 00:00:00","<rust>","5","463","5","","0","3"
"2012-08-20 00:00:00","<perl>","1","626","7","1","8","4"
"2016-02-17 00:00:00","<perl>","-6","259","7","","11","4"
"2016-12-18 00:00:00","<fortran>","-1","82","1","","3","1"
"2014-07-25 00:00:00","<rust>","4","520","3","1","1","1"
