post_date,tags,score_sum,views,answers,favorites,comments,usage_cnt
"2009-01-04 00:00:00","<fortran>","4","808","2","3","0","1"
"2009-05-01 00:00:00","<fortran>","0","691","2","","2","1"
"2009-07-06 00:00:00","<fortran>","2","1497","1","","1","1"
"2009-12-12 00:00:00","<fortran>","1","3204","4","","3","1"
"2010-07-28 00:00:00","<fortran>","14","3844","2","4","3","1"
"2010-12-09 00:00:00","<fortran>","-1","260","1","","2","1"
"2010-12-17 00:00:00","<fortran>","1","1128","3","","0","1"
"2011-05-04 00:00:00","<fortran>","5","964","6","","1","2"
"2011-05-17 00:00:00","<fortran>","1","6931","3","","2","2"
"2011-07-31 00:00:00","<fortran>","0","770","2","","0","1"
"2011-09-08 00:00:00","<fortran>","1","554","3","","4","1"
"2011-10-24 00:00:00","<fortran>","0","2063","2","","0","1"
"2011-12-21 00:00:00","<fortran>","4","4988","2","1","0","1"
"2012-01-05 00:00:00","<fortran>","1","11729","1","","0","1"
"2012-01-24 00:00:00","<fortran>","3","2321","1","3","2","1"
"2012-04-04 00:00:00","<fortran>","-2","341","2","","2","1"
"2012-04-10 00:00:00","<fortran>","1","327","2","","0","1"
"2012-04-29 00:00:00","<fortran>","0","441","2","","2","1"
"2012-05-04 00:00:00","<fortran>","2","1073","2","","3","1"
"2012-05-12 00:00:00","<fortran>","3","3597","1","1","5","1"
"2012-06-05 00:00:00","<fortran>","0","417","2","","0","1"
"2012-06-26 00:00:00","<fortran>","8","8467","3","4","7","2"
"2012-07-27 00:00:00","<fortran>","0","631","1","","1","1"
"2012-08-05 00:00:00","<fortran>","3","6220","3","1","0","1"
"2012-08-21 00:00:00","<fortran>","1","3382","2","","5","1"
"2012-09-26 00:00:00","<fortran>","1","1431","2","","4","1"
"2012-10-18 00:00:00","<fortran>","0","1433","1","","0","1"
"2012-11-03 00:00:00","<fortran>","1","288","1","","0","1"
"2012-11-16 00:00:00","<fortran>","1","238","2","","0","1"
"2013-02-08 00:00:00","<fortran>","0","309","2","","2","1"
"2013-03-05 00:00:00","<fortran>","0","246","1","","2","1"
"2013-03-10 00:00:00","<fortran>","0","4298","1","","0","1"
"2013-04-18 00:00:00","<fortran>","5","22950","3","3","2","2"
"2013-06-11 00:00:00","<fortran>","1","800","0","","4","1"
"2013-06-13 00:00:00","<fortran>","0","1735","5","","15","4"
"2013-08-02 00:00:00","<fortran>","-1","120","3","","2","1"
"2013-08-23 00:00:00","<fortran>","8","6081","1","2","1","1"
"2013-10-05 00:00:00","<fortran>","0","158","0","","2","1"
"2013-10-07 00:00:00","<fortran>","1","3498","1","","13","2"
"2013-10-24 00:00:00","<fortran>","1","2460","1","","1","1"
"2013-11-11 00:00:00","<fortran>","2","686","2","","1","1"
"2013-11-13 00:00:00","<fortran>","0","83","1","","2","1"
"2013-12-18 00:00:00","<fortran>","2","420","2","","2","1"
"2014-01-08 00:00:00","<fortran>","3","149","1","","0","1"
"2014-01-11 00:00:00","<fortran>","0","411","1","","5","1"
