post_date,tags,score_sum,views,answers,favorites,comments,usage_cnt
"2012-03-13 00:00:00","<d3.js>","6","8633","3","2","0","1"
"2012-03-21 00:00:00","<d3.js>","0","2675","1","","0","1"
"2012-05-29 00:00:00","<d3.js>","37","6590","1","6","0","1"
"2012-07-26 00:00:00","<d3.js>","2","2995","1","","1","1"
"2012-08-03 00:00:00","<d3.js>","4","5316","2","","0","1"
"2012-10-16 00:00:00","<d3.js>","0","253","1","","0","1"
"2012-10-19 00:00:00","<d3.js>","1","448","0","2","1","1"
"2012-10-27 00:00:00","<d3.js>","64","68070","2","27","0","2"
"2012-11-07 00:00:00","<d3.js>","24","24661","8","8","0","4"
"2012-12-11 00:00:00","<d3.js>","8","11176","2","","0","1"
"2012-12-17 00:00:00","<d3.js>","13","18217","2","6","0","1"
"2012-12-27 00:00:00","<d3.js>","6","1990","1","","0","1"
"2013-01-04 00:00:00","<d3.js>","2","3515","2","2","1","2"
"2013-01-09 00:00:00","<d3.js>","1","2470","1","","4","2"
"2013-01-14 00:00:00","<d3.js>","0","176","1","","0","1"
"2013-01-28 00:00:00","<d3.js>","34","30134","5","11","0","3"
"2013-02-05 00:00:00","<d3.js>","22","6061","3","6","0","1"
"2013-02-12 00:00:00","<d3.js>","8","3584","5","1","4","3"
"2013-02-13 00:00:00","<d3.js>","3","2965","3","","0","2"
"2013-02-18 00:00:00","<d3.js>","4","2605","1","","2","1"
"2013-03-01 00:00:00","<d3.js>","3","13451","3","3","3","3"
"2013-03-03 00:00:00","<d3.js>","1","367","2","1","0","1"
"2013-03-14 00:00:00","<d3.js>","53","34181","7","6","2","3"
"2013-03-17 00:00:00","<d3.js>","3","2689","2","2","6","2"
"2013-03-19 00:00:00","<d3.js>","6","7529","1","3","3","2"
"2013-03-24 00:00:00","<d3.js>","1","1860","1","","0","1"
"2013-03-25 00:00:00","<d3.js>","2","3418","1","1","1","1"
"2013-03-29 00:00:00","<d3.js>","2","7660","2","0","0","1"
"2013-03-30 00:00:00","<d3.js>","0","2249","2","","2","1"
"2013-04-01 00:00:00","<d3.js>","4","3133","1","","1","1"
"2013-04-09 00:00:00","<d3.js>","0","897","2","0","4","2"
"2013-04-14 00:00:00","<d3.js>","0","2088","2","","0","1"
"2013-04-30 00:00:00","<d3.js>","4","8020","1","1","10","3"
"2013-05-16 00:00:00","<d3.js>","4","2420","2","2","3","2"
"2013-05-24 00:00:00","<d3.js>","1","158","0","","1","1"
"2013-05-27 00:00:00","<d3.js>","0","813","1","1","0","1"
"2013-06-17 00:00:00","<d3.js>","3","5678","2","3","18","2"
"2013-06-20 00:00:00","<d3.js>","1","148","1","","4","1"
"2013-06-23 00:00:00","<d3.js>","5","11550","0","2","3","1"
"2013-07-21 00:00:00","<d3.js>","2","2086","2","3","0","2"
"2013-07-30 00:00:00","<d3.js>","-1","496","1","","1","1"
"2013-08-01 00:00:00","<d3.js>","1","727","3","","9","4"
"2013-08-14 00:00:00","<d3.js>","2","1894","4","","9","3"
"2013-09-05 00:00:00","<d3.js>","0","223","0","1","3","1"
"2013-09-12 00:00:00","<d3.js>","0","1241","3","","5","3"
"2013-09-20 00:00:00","<d3.js>","5","2171","3","","0","3"
"2013-09-21 00:00:00","<d3.js>","1","821","2","","0","2"
"2013-09-29 00:00:00","<d3.js>","1","899","1","","0","1"
"2013-10-01 00:00:00","<d3.js>","8","5787","3","3","6","2"
"2013-10-04 00:00:00","<d3.js>","13","3501","4","","28","4"
"2013-10-09 00:00:00","<d3.js>","19","13451","12","4","10","5"
"2013-10-14 00:00:00","<d3.js>","0","221","1","","8","1"
"2013-10-20 00:00:00","<d3.js>","0","169","1","","1","1"
"2013-10-27 00:00:00","<d3.js>","1","926","1","1","0","1"
"2013-11-07 00:00:00","<d3.js>","1","891","3","","3","2"
"2013-11-10 00:00:00","<d3.js>","1","2265","2","","0","2"
"2013-11-15 00:00:00","<d3.js>","0","1128","1","","1","1"
"2013-11-18 00:00:00","<d3.js>","0","158","1","","1","1"
"2013-11-20 00:00:00","<d3.js>","6","7668","2","1","11","3"
"2013-11-21 00:00:00","<d3.js>","1","506","2","","0","2"
"2013-11-26 00:00:00","<d3.js>","4","3994","3","3","6","2"
"2013-11-28 00:00:00","<d3.js>","4","6165","1","5","11","2"
"2013-12-11 00:00:00","<d3.js>","0","333","2","","6","1"
"2013-12-28 00:00:00","<d3.js>","1","1016","0","","1","1"
"2014-01-15 00:00:00","<d3.js>","5","7528","2","1","0","2"
"2014-01-26 00:00:00","<d3.js>","0","1819","1","","3","2"
"2014-02-11 00:00:00","<d3.js>","1","170","1","","0","1"
"2014-02-21 00:00:00","<d3.js>","1","2255","2","","7","3"
"2014-02-26 00:00:00","<d3.js>","1","332","0","","5","1"
